subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,334,9,0,1,4,0,549.0,236.0,150.0,100.0,0.75,2.508190700142546,baseline
24,335,2,0,0,4,1,387.0,228.0,225.0,100.0,0.75,2.508190700142546,size_high
24,336,4,0,0,4,1,823.0,250.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,337,5,1,1,1,1,710.0,440.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,338,9,1,1,4,1,590.0,216.0,150.0,100.0,0.75,2.508190700142546,baseline
24,339,9,1,1,4,1,541.0,174.0,150.0,100.0,0.75,2.508190700142546,baseline
24,340,8,1,1,4,1,459.0,161.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,341,1,1,1,1,1,474.0,406.0,75.0,100.0,0.75,2.508190700142546,size_low
24,342,6,0,0,4,1,537.0,4419.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,343,5,1,1,1,1,779.0,425.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,344,1,0,0,4,1,425.0,358.0,75.0,100.0,0.75,2.508190700142546,size_low
24,345,1,1,0,4,0,692.0,351.0,75.0,100.0,0.75,2.508190700142546,size_low
24,346,9,1,1,4,1,642.0,180.0,150.0,100.0,0.75,2.508190700142546,baseline
24,347,9,0,0,4,1,577.0,183.0,150.0,100.0,0.75,2.508190700142546,baseline
24,348,7,0,0,4,1,674.0,577.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,349,9,0,0,4,1,636.0,262.0,150.0,100.0,0.75,2.508190700142546,baseline
24,350,2,0,0,4,1,666.0,197.0,225.0,100.0,0.75,2.508190700142546,size_high
24,351,2,0,0,3,1,817.0,373.0,225.0,100.0,0.75,2.508190700142546,size_high
24,352,1,1,0,1,0,743.0,466.0,75.0,100.0,0.75,2.508190700142546,size_low
24,353,7,1,1,3,1,602.0,296.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,354,9,1,0,3,0,547.0,260.0,150.0,100.0,0.75,2.508190700142546,baseline
24,355,3,0,0,2,1,762.0,468.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,356,7,0,0,4,1,567.0,413.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,357,2,0,0,3,1,504.0,496.0,225.0,100.0,0.75,2.508190700142546,size_high
24,358,3,1,0,1,0,786.0,1498.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,359,2,1,1,3,1,834.0,240.0,225.0,100.0,0.75,2.508190700142546,size_high
24,360,9,0,1,3,0,1195.0,252.0,150.0,100.0,0.75,2.508190700142546,baseline
24,361,3,0,1,1,0,1390.0,563.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,362,9,0,1,4,0,1578.0,452.0,150.0,100.0,0.75,2.508190700142546,baseline
24,363,3,0,1,4,0,703.0,278.0,150.0,33.0,0.75,2.508190700142546,dur_low
